Player,Team,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Juicy,WOL,"['yoru', 'jett', 'raze']",349,0.95,212.0,1.00,67%,139.5,0.74,0.19,0.19,0.17,25%,31%,5/16,23,260,260,65,65,61
Wo0t,TH,"['breach', 'gekko', 'jett']",81,0.94,183.0,0.86,68%,118.9,0.63,0.36,0.10,0.15,34%,10%,1/10,17,51,59,29,8,12
valyn,G2,['omen'],198,0.93,172.1,0.86,75%,109.6,0.61,0.37,0.07,0.08,22%,6%,1/18,20,121,140,73,14,16
nephh,BLG,"['viper', 'breach', 'kayo']",179,0.93,178.6,0.87,72%,117.9,0.59,0.46,0.07,0.08,22%,17%,3/18,21,106,122,82,12,14
JonahP,G2,"['breach', 'viper', 'fade']",198,0.93,178.8,0.90,76%,113.2,0.61,0.39,0.04,0.14,24%,8%,1/13,20,120,133,77,8,27
SiuFatBB,WOL,"['sova', 'fade']",349,0.91,151.1,0.88,70%,99.9,0.54,0.25,0.03,0.05,28%,23%,15/65,17,190,217,88,12,16
Lysoar,WOL,"['deadlock', 'killjoy', 'omen']",349,0.91,174.5,0.88,72%,112.1,0.60,0.33,0.08,0.06,25%,13%,5/38,19,211,241,115,28,22
paTiTek,TL,"['kayo', 'sova', 'fade']",187,0.91,183.1,0.88,72%,117.7,0.61,0.21,0.09,0.07,27%,8%,2/24,23,114,130,39,17,14
Levius,BLG,"['killjoy', 'cypher', 'vyse']",179,0.90,158.1,0.94,70%,111.4,0.59,0.16,0.03,0.11,23%,,0/26,19,105,112,28,5,19
xffero,RRQ,"['cypher', 'killjoy', 'viper']",100,0.90,175.2,0.89,65%,118.8,0.64,0.17,0.07,0.07,32%,8%,1/13,15,64,72,17,7,7
Yuicaw,WOL,"['cypher', 'gekko', 'raze']",349,0.89,175.0,0.89,63%,117.3,0.62,0.19,0.09,0.10,27%,9%,4/47,24,218,244,68,33,34
nAts,TL,"['viper', 'cypher']",111,0.88,186.0,0.88,74%,121.2,0.64,0.20,0.08,0.05,28%,12%,2/17,18,71,81,22,9,6
Kushy,RRQ,"['sova', 'vyse']",100,0.88,174.0,0.86,70%,114.0,0.62,0.22,0.01,0.05,39%,17%,2/12,23,62,72,22,1,5
Foxy9,GEN,"['killjoy', 'deadlock', 'vyse']",255,0.88,179.2,0.98,71%,111.6,0.65,0.18,0.08,0.08,32%,28%,7/25,21,167,170,46,20,21
Rarga,XLG,"['neon', 'jett', 'yoru']",75,0.86,217.0,0.88,64%,136.1,0.76,0.16,0.20,0.25,41%,33%,2/6,20,57,65,12,15,19
benjyfishy,TH,"['killjoy', 'cypher']",81,0.85,178.8,0.85,62%,119.9,0.63,0.11,0.12,0.06,30%,17%,2/12,18,51,60,9,10,5
RieNs,TH,"['fade', 'sova', 'viper']",81,0.85,191.5,0.84,63%,125.0,0.63,0.25,0.09,0.12,28%,,0/7,17,51,61,20,7,10
Jemkin,RRQ,"['jett', 'raze', 'yoru']",100,0.85,196.8,0.88,66%,138.2,0.69,0.14,0.21,0.16,33%,,0/5,19,69,78,14,21,16
Boaster,FNC,"['omen', 'astra', 'viper']",419,0.84,143.4,0.76,72%,94.4,0.47,0.36,0.08,0.08,25%,9%,3/35,21,199,261,149,33,33
